state,population_2020,status,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,549000,3,2,0.25,Claverack,12534,1890,1/10/2020
New York,20201249,for_sale,995000,3,3,0.09,Craryville,12521,1320,2/28/2020
New York,20201249,for_sale,345000,3,2,0.32,Chatham,12037,1126,6/16/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,995000,3,3,0.09,Craryville,12521,1320,2/28/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,394000,3,2,0.57,Millbrook,12545,1440,7/14/2020
New York,20201249,for_sale,595000,3,2,10.9,Clinton Corners,12514,1630,2/24/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,775000,4,3,3.36,Taghkanic,12523,2553,8/27/2020
New York,20201249,for_sale,549000,3,2,0.25,Claverack,12534,1890,1/10/2020
New York,20201249,for_sale,995000,3,3,0.09,Craryville,12521,1320,2/28/2020
New York,20201249,for_sale,345000,3,2,0.32,Chatham,12037,1126,6/16/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,549000,3,2,0.25,Claverack,12534,1890,1/10/2020
New York,20201249,for_sale,345000,3,2,0.32,Chatham,12037,1126,6/16/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,5650000,4,5,1.01,Montauk,11954,4200,10/15/2020
New York,20201249,for_sale,5250000,4,2,1.2,Montauk,11954,2000,10/26/2020
New York,20201249,for_sale,3450000,6,8,0.57,Montauk,11954,4011,4/20/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,209900,3,1,3.2,Fort Ann,12827,1120,11/18/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,695000,6,4,0.33,Greenwich,12834,4776,3/13/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,249900,3,2,0.01,Plattsburgh,12903,1450,2/28/2020
New York,20201249,for_sale,415000,4,3,12.53,Peru,12972,2364,11/23/2020
New York,20201249,for_sale,145000,3,2,3,Plattsburgh,12901,2918,10/28/2020
New York,20201249,for_sale,235000,3,3,0.01,Plattsburgh,12901,1995,10/28/2020
New York,20201249,for_sale,235000,3,3,0.01,Plattsburgh,12901,1995,10/28/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,264900,5,3,4.8,West Chazy,12992,1806,1/28/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,145000,3,2,3,Plattsburgh,12901,2918,10/28/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,249900,3,2,0.01,Plattsburgh,12903,1450,2/28/2020
New York,20201249,for_sale,264900,5,3,4.8,West Chazy,12992,1806,1/28/2020
New York,20201249,for_sale,415000,4,3,12.53,Peru,12972,2364,11/23/2020
New York,20201249,for_sale,145000,3,2,3,Plattsburgh,12901,2918,10/28/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,264900,5,3,4.8,West Chazy,12992,1806,1/28/2020
New York,20201249,for_sale,415000,4,3,12.53,Peru,12972,2364,11/23/2020
New York,20201249,for_sale,235000,3,3,0.01,Plattsburgh,12901,1995,10/28/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,279900,3,1,7.32,Putnam Station,12861,1200,9/8/2020
New York,20201249,for_sale,99900,4,1,0.35,Ticonderoga,12883,1078,11/23/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,99900,4,1,0.35,Ticonderoga,12883,1078,11/23/2020
New York,20201249,for_sale,99900,4,1,0.35,Ticonderoga,12883,1078,11/23/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,99900,4,1,0.35,Ticonderoga,12883,1078,11/23/2020
New York,20201249,for_sale,209900,3,1,3.2,Fort Ann,12827,1120,11/18/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,279900,3,1,7.32,Putnam Station,12861,1200,9/8/2020
New York,20201249,for_sale,279900,3,1,7.32,Putnam Station,12861,1200,9/8/2020
New York,20201249,for_sale,695000,6,4,0.33,Greenwich,12834,4776,3/13/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,279900,3,1,7.32,Putnam Station,12861,1200,9/8/2020
New York,20201249,for_sale,99900,4,1,0.35,Ticonderoga,12883,1078,11/23/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,279900,3,1,7.32,Putnam Station,12861,1200,9/8/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,695000,6,4,0.33,Greenwich,12834,4776,3/13/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,99900,4,1,0.35,Ticonderoga,12883,1078,11/23/2020
New York,20201249,for_sale,209900,3,1,3.2,Fort Ann,12827,1120,11/18/2020
New York,20201249,for_sale,695000,6,4,0.33,Greenwich,12834,4776,3/13/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,279900,3,1,7.32,Putnam Station,12861,1200,9/8/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,394000,3,2,0.57,Millbrook,12545,1440,7/14/2020
New York,20201249,for_sale,595000,3,2,10.9,Clinton Corners,12514,1630,2/24/2020
New York,20201249,for_sale,375000,2,2,1.21,Brewster,10509,1631,3/25/2020
New York,20201249,for_sale,549980,4,3,0.69,Ridge,11961,2537,9/21/2020
New York,20201249,for_sale,255000,2,1,0.26,Carmel,10512,1050,9/21/2020
New York,20201249,for_sale,220000,2,1,0.08,Carmel,10512,640,3/5/2020
New York,20201249,for_sale,375000,2,2,1.21,Brewster,10509,1631,3/25/2020
New York,20201249,for_sale,699000,4,3,0.45,Centereach,11720,2400,4/29/2020
New York,20201249,for_sale,510000,5,3,0.35,Coram,11727,2300,1/9/2020
New York,20201249,for_sale,439990,3,1,0.4,Coram,11727,1122,9/25/2020
New York,20201249,for_sale,329000,2,2,0.02,Middle Island,11953,1133,3/4/2020
New York,20201249,for_sale,425000,3,2,0.23,Rocky Point,11778,1360,4/20/2020
New York,20201249,for_sale,899000,5,5,0.35,East Setauket,11733,4185,7/27/2020
New York,20201249,for_sale,599000,4,3,1.09,Selden,11784,2440,12/16/2020
New York,20201249,for_sale,429000,3,1,0.19,Centereach,11720,800,12/3/2020
New York,20201249,for_sale,599999,4,3,0.26,Miller Place,11764,2496,8/17/2020
New York,20201249,for_sale,479999,4,2,0.11,Port Jefferson Station,11776,1540,9/17/2020
New York,20201249,for_sale,799000,4,4,0.92,Port Jefferson Station,11776,2636,11/5/2020
New York,20201249,for_sale,997095,4,4,0.52,Port Jefferson,11777,3150,1/3/2020
New York,20201249,for_sale,538000,4,3,0.17,South Setauket,11720,2750,12/7/2020
New York,20201249,for_sale,449000,3,2,0.08,Sound Beach,11789,1000,7/9/2020
New York,20201249,for_sale,879000,7,4,0.05,Bronx,10458,3374,10/23/2020
New York,20201249,for_sale,1439000,5,4,0.06,Sunnyside,11104,1600,3/19/2020
New York,20201249,for_sale,589000,5,2,0.05,Bronx,10457,1850,10/20/2020
New York,20201249,for_sale,685000,2,2,0.03,East Elmhurst,11369,1500,1/29/2020
New York,20201249,for_sale,1389999,4,3,0.06,Queens,11379,1848,1/28/2020
New York,20201249,for_sale,1980000,4,3,0.06,College Point,11356,2602,10/13/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,1200000,7,5,0.04,Bronx,10463,2623,10/16/2020
New York,20201249,for_sale,980000,7,4,0.06,Bronx,10469,3500,11/13/2020
New York,20201249,for_sale,1529000,3,3,0.06,Brooklyn,11220,1914,10/6/2020
New York,20201249,for_sale,879000,7,4,0.05,Bronx,10458,3374,10/23/2020
New York,20201249,for_sale,1095000,4,4,0.12,Jamaica,11432,2108,12/15/2020
New York,20201249,for_sale,1439000,5,4,0.06,Sunnyside,11104,1600,3/19/2020
New York,20201249,for_sale,589000,5,2,0.05,Bronx,10457,1850,10/20/2020
New York,20201249,for_sale,525000,2,2,0.08,Bronx,10469,1798,5/18/2020
New York,20201249,for_sale,1389999,4,3,0.06,Queens,11379,1848,1/28/2020
New York,20201249,for_sale,1980000,4,3,0.06,College Point,11356,2602,10/13/2020
New York,20201249,for_sale,1888000,4,4,0.09,Flushing,11358,2900,1/2/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,1200000,7,5,0.04,Bronx,10463,2623,10/16/2020
New York,20201249,for_sale,980000,7,4,0.06,Bronx,10469,3500,11/13/2020
New York,20201249,for_sale,879000,7,4,0.05,Bronx,10458,3374,10/23/2020
New York,20201249,for_sale,589000,5,2,0.05,Bronx,10457,1850,10/20/2020
New York,20201249,for_sale,1439000,5,4,0.06,Sunnyside,11104,1600,3/19/2020
New York,20201249,for_sale,685000,2,2,0.03,East Elmhurst,11369,1500,1/29/2020
New York,20201249,for_sale,1980000,4,3,0.06,College Point,11356,2602,10/13/2020
New York,20201249,for_sale,1888000,4,4,0.09,Flushing,11358,2900,1/2/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,745000,4,3,0.09,Jamaica,11412,1321,1/29/2020
New York,20201249,for_sale,799000,3,3,0.13,Staten Island,10312,2052,4/17/2020
New York,20201249,for_sale,1529000,3,3,0.06,Brooklyn,11220,1914,10/6/2020
New York,20201249,for_sale,694000,3,3,0.06,Staten Island,10314,924,11/19/2020
New York,20201249,for_sale,1095000,6,4,0.1,Staten Island,10314,2600,7/23/2020
New York,20201249,for_sale,799000,2,2,0.03,Brooklyn,11228,884,2/26/2020
New York,20201249,for_sale,650000,3,1,0.1,Staten Island,10312,1192,12/10/2020
New York,20201249,for_sale,910000,5,2,0.06,Brooklyn,11214,2112,6/1/2020
New York,20201249,for_sale,650000,3,1,0.1,Staten Island,10312,1192,12/10/2020
New York,20201249,for_sale,910000,5,2,0.06,Brooklyn,11214,2112,6/1/2020
New York,20201249,for_sale,685000,2,2,0.03,East Elmhurst,11369,1500,1/29/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,950000,5,3,0.09,Staten Island,10309,2124,1/17/2020
New York,20201249,for_sale,879000,7,4,0.05,Bronx,10458,3374,10/23/2020
New York,20201249,for_sale,1095000,4,4,0.12,Jamaica,11432,2108,12/15/2020
New York,20201249,for_sale,1439000,5,4,0.06,Sunnyside,11104,1600,3/19/2020
New York,20201249,for_sale,910000,5,2,0.06,Brooklyn,11214,2112,6/1/2020
New York,20201249,for_sale,589000,5,2,0.05,Bronx,10457,1850,10/20/2020
New York,20201249,for_sale,685000,2,2,0.03,East Elmhurst,11369,1500,1/29/2020
New York,20201249,for_sale,749999,3,2,0.08,Brooklyn,11229,1400,2/4/2020
New York,20201249,for_sale,1389999,4,3,0.06,Queens,11379,1848,1/28/2020
New York,20201249,for_sale,1980000,4,3,0.06,College Point,11356,2602,10/13/2020
New York,20201249,for_sale,1888000,4,4,0.09,Flushing,11358,2900,1/2/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,2725000,6,3,7.1,Monroe,10950,2560,7/1/2020
New York,20201249,for_sale,749900,4,4,0.71,Warwick,10990,2518,4/3/2020
New York,20201249,for_sale,5995000,12,9,5,Tuxedo Park,10987,12391,7/29/2020
New York,20201249,for_sale,539000,3,3,0.14,Suffern,10901,1600,9/11/2020
New York,20201249,for_sale,1250000,4,3,1.3,Tuxedo Park,10987,5138,11/5/2020
New York,20201249,for_sale,895000,4,4,5.7,Warwick,10990,3152,12/29/2020
New York,20201249,for_sale,578000,4,2,0.16,Warwick,10990,1740,9/28/2020
New York,20201249,for_sale,559900,4,4,3.1,Monroe,10950,3183,9/15/2020
New York,20201249,for_sale,1199000,5,3,1.45,Spring Valley,10977,2063,1/6/2020
New York,20201249,for_sale,5995000,12,9,5,Tuxedo Park,10987,12391,7/29/2020
New York,20201249,for_sale,699999,5,4,0.68,Orangeburg,10962,3104,7/20/2020
New York,20201249,for_sale,849000,6,4,0.83,Blauvelt,10913,4218,10/15/2020
New York,20201249,for_sale,3295000,3,3,0.12,New York City,10023,1666,6/11/2020
New York,20201249,for_sale,539000,3,3,0.14,Suffern,10901,1600,9/11/2020
New York,20201249,for_sale,554000,2,2,0.06,Dobbs Ferry,10522,1296,9/21/2020
New York,20201249,for_sale,698000,3,3,0.12,Yonkers,10701,1200,9/22/2020
New York,20201249,for_sale,875000,5,5,0.43,Nanuet,10954,3597,8/3/2020
New York,20201249,for_sale,569000,4,3,0.07,Suffern,10901,3280,6/11/2020
New York,20201249,for_sale,2250000,5,4,1.37,Nyack,10960,5016,6/3/2020
New York,20201249,for_sale,711000,5,3,1.3,West Nyack,10994,2642,6/10/2020
New York,20201249,for_sale,650000,3,3,0.24,Nyack,10960,2449,6/3/2020
New York,20201249,for_sale,499000,2,2,0.07,Dobbs Ferry,10522,1545,7/28/2020
New York,20201249,for_sale,465000,2,4,0.11,Pomona,10970,2951,2/26/2020
New York,20201249,for_sale,569000,4,3,0.07,Suffern,10901,3280,6/11/2020
New York,20201249,for_sale,589000,5,2,0.05,Bronx,10457,1850,10/20/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,1200000,7,5,0.04,Bronx,10463,2623,10/16/2020
New York,20201249,for_sale,2725000,6,3,7.1,Monroe,10950,2560,7/1/2020
New York,20201249,for_sale,4800000,5,3,7.3,Monroe,10950,3240,1/6/2020
New York,20201249,for_sale,819999,5,4,0.4,Pearl River,10965,3086,5/22/2020
New York,20201249,for_sale,749900,4,4,0.71,Warwick,10990,2518,4/3/2020
New York,20201249,for_sale,1199000,5,3,1.45,Spring Valley,10977,2063,1/6/2020
New York,20201249,for_sale,5995000,12,9,5,Tuxedo Park,10987,12391,7/29/2020
New York,20201249,for_sale,699999,5,4,0.68,Orangeburg,10962,3104,7/20/2020
New York,20201249,for_sale,849000,6,4,0.83,Blauvelt,10913,4218,10/15/2020
New York,20201249,for_sale,999000,4,4,2.7,Washingtonville,10992,3045,11/12/2020
New York,20201249,for_sale,539000,3,3,0.14,Suffern,10901,1600,9/11/2020
New York,20201249,for_sale,925000,5,4,0.31,Pearl River,10965,3200,3/26/2020
New York,20201249,for_sale,1250000,4,3,1.3,Tuxedo Park,10987,5138,11/5/2020
New York,20201249,for_sale,895000,4,4,5.7,Warwick,10990,3152,12/29/2020
New York,20201249,for_sale,875000,5,5,0.43,Nanuet,10954,3597,8/3/2020
New York,20201249,for_sale,569000,4,3,0.07,Suffern,10901,3280,6/11/2020
New York,20201249,for_sale,2250000,5,4,1.37,Nyack,10960,5016,6/3/2020
New York,20201249,for_sale,559900,4,4,3.1,Monroe,10950,3183,9/15/2020
New York,20201249,for_sale,711000,5,3,1.3,West Nyack,10994,2642,6/10/2020
New York,20201249,for_sale,650000,3,3,0.24,Nyack,10960,2449,6/3/2020
New York,20201249,for_sale,425000,3,2,0.4,Highland Mills,10930,1439,7/31/2020
New York,20201249,for_sale,465000,2,4,0.11,Pomona,10970,2951,2/26/2020
New York,20201249,for_sale,749900,4,4,0.71,Warwick,10990,2518,4/3/2020
New York,20201249,for_sale,5995000,12,9,5,Tuxedo Park,10987,12391,7/29/2020
New York,20201249,for_sale,1250000,4,3,1.3,Tuxedo Park,10987,5138,11/5/2020
New York,20201249,for_sale,895000,4,4,5.7,Warwick,10990,3152,12/29/2020
New York,20201249,for_sale,578000,4,2,0.16,Warwick,10990,1740,9/28/2020
New York,20201249,for_sale,574900,4,3,3.7,Westtown,10998,2506,12/4/2020
New York,20201249,for_sale,559900,4,4,3.1,Monroe,10950,3183,9/15/2020
New York,20201249,for_sale,830000,4,3,0.11,Yonkers,10710,2780,12/29/2020
New York,20201249,for_sale,819999,5,4,0.4,Pearl River,10965,3086,5/22/2020
New York,20201249,for_sale,699999,5,4,0.68,Orangeburg,10962,3104,7/20/2020
New York,20201249,for_sale,925000,5,4,0.31,Pearl River,10965,3200,3/26/2020
New York,20201249,for_sale,554000,2,2,0.06,Dobbs Ferry,10522,1296,9/21/2020
New York,20201249,for_sale,698000,3,3,0.12,Yonkers,10701,1200,9/22/2020
New York,20201249,for_sale,699000,4,3,0.11,Yonkers,10704,2164,2/19/2020
New York,20201249,for_sale,875000,5,5,0.43,Nanuet,10954,3597,8/3/2020
New York,20201249,for_sale,3299000,5,6,0.28,Scarsdale,10583,5500,12/22/2020
New York,20201249,for_sale,2250000,5,4,1.37,Nyack,10960,5016,6/3/2020
New York,20201249,for_sale,711000,5,3,1.3,West Nyack,10994,2642,6/10/2020
New York,20201249,for_sale,650000,3,3,0.24,Nyack,10960,2449,6/3/2020
New York,20201249,for_sale,499000,2,2,0.07,Dobbs Ferry,10522,1545,7/28/2020
New York,20201249,for_sale,650000,3,1,0.1,Staten Island,10312,1192,12/10/2020
New York,20201249,for_sale,879000,7,4,0.05,Bronx,10458,3374,10/23/2020
New York,20201249,for_sale,1439000,5,4,0.06,Sunnyside,11104,1600,3/19/2020
New York,20201249,for_sale,910000,5,2,0.06,Brooklyn,11214,2112,6/1/2020
New York,20201249,for_sale,3299000,5,6,0.28,Scarsdale,10583,5500,12/22/2020
New York,20201249,for_sale,525000,2,2,0.08,Bronx,10469,1798,5/18/2020
New York,20201249,for_sale,685000,2,2,0.03,East Elmhurst,11369,1500,1/29/2020
New York,20201249,for_sale,2250000,5,4,1.37,Nyack,10960,5016,6/3/2020
New York,20201249,for_sale,711000,5,3,1.3,West Nyack,10994,2642,6/10/2020
New York,20201249,for_sale,650000,3,3,0.24,Nyack,10960,2449,6/3/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,499000,2,2,0.07,Dobbs Ferry,10522,1545,7/28/2020
New York,20201249,for_sale,589000,3,3,0.26,Ossining,10562,1792,12/14/2020
New York,20201249,for_sale,894700,9,4,0.23,Mount Vernon,10550,10019,2/5/2020
New York,20201249,for_sale,980000,7,4,0.06,Bronx,10469,3500,11/13/2020
New York,20201249,for_sale,875000,5,5,0.43,Nanuet,10954,3597,8/3/2020
New York,20201249,for_sale,650000,3,1,0.1,Staten Island,10312,1192,12/10/2020
New York,20201249,for_sale,879000,7,4,0.05,Bronx,10458,3374,10/23/2020
New York,20201249,for_sale,569000,4,3,0.07,Suffern,10901,3280,6/11/2020
New York,20201249,for_sale,2250000,5,4,1.37,Nyack,10960,5016,6/3/2020
New York,20201249,for_sale,675000,2,4,4,Ossining,10562,2715,2/7/2020
New York,20201249,for_sale,711000,5,3,1.3,West Nyack,10994,2642,6/10/2020
New York,20201249,for_sale,650000,3,3,0.24,Nyack,10960,2449,6/3/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,499000,2,2,0.07,Dobbs Ferry,10522,1545,7/28/2020
New York,20201249,for_sale,589000,3,3,0.26,Ossining,10562,1792,12/14/2020
New York,20201249,for_sale,1200000,7,5,0.04,Bronx,10463,2623,10/16/2020
New York,20201249,for_sale,465000,2,4,0.11,Pomona,10970,2951,2/26/2020
New York,20201249,for_sale,1439000,5,4,0.06,Sunnyside,11104,1600,3/19/2020
New York,20201249,for_sale,569000,4,3,0.07,Suffern,10901,3280,6/11/2020
New York,20201249,for_sale,910000,5,2,0.06,Brooklyn,11214,2112,6/1/2020
New York,20201249,for_sale,525000,2,2,0.08,Bronx,10469,1798,5/18/2020
New York,20201249,for_sale,685000,2,2,0.03,East Elmhurst,11369,1500,1/29/2020
New York,20201249,for_sale,1389999,4,3,0.06,Queens,11379,1848,1/28/2020
New York,20201249,for_sale,1980000,4,3,0.06,College Point,11356,2602,10/13/2020
New York,20201249,for_sale,1150000,2,2,0.25,New York City,10022,1113,3/12/2020
New York,20201249,for_sale,980000,7,4,0.06,Bronx,10469,3500,11/13/2020
New York,20201249,for_sale,5998000,6,6,1.2,Sands Point,11050,5508,10/1/2020
